5, 1300, 1000, 1400, 500,  1, 1000
10, 1300, 1000, 2800, 500,  2, 1600
9, 1300, 1000, 4200, 500,  3, 2200
6, 1300, 1000, 5600, 500,  4, 2800
0, 2300, 1000, 1400, 500,  2, 1600
11, 2300, 1000, 2800, 500,  4, 2560
4, 2300, 1000, 4200, 500,  6, 3520
13, 2300, 1000, 5600, 500,  8, 4480
7, 3300, 1000, 1400, 500,  3, 2200
3, 3300, 1000, 2800, 500,  6, 3520
8, 3300, 1000, 4200, 500,  9, 4840
1, 3300, 1000, 5600, 500,  12, 6160
15, 4300, 1000, 1400, 500,  4, 2800
2, 4300, 1000, 2800, 500,  8, 4480
14, 4300, 1000, 4200, 500,  12, 6160
12, 4300, 1000, 5600, 500,  16, 7840
