5, 1300, 1000, 1400, 500,  1, 1000
10, 1300, 1000, 2800, 475,  2, 1800
9, 1300, 1000, 4200, 450,  3, 2600
6, 1300, 1000, 5600, 400,  4, 3400
0, 2300, 1000, 1400, 500,  2, 1800
11, 2300, 1000, 2800, 475,  4, 3240
4, 2300, 1000, 4200, 450,  6, 4680
13, 2300, 1000, 5600, 400,  8, 6120
7, 3300, 1000, 1400, 500,  3, 2600
3, 3300, 1000, 2800, 500,  6, 4680
8, 3300, 1000, 4200, 500,  9, 6760
1, 3300, 1000, 5600, 500,  12, 8840
15, 4300, 1000, 1400, 500,  4, 3400
2, 4300, 1000, 2800, 500,  8, 6120
14, 4300, 1000, 4200, 500,  12, 8840
12, 4300, 1000, 5600, 500,  16, 11560
